"Gringalet","Gringalet"
"Frappe","Frappe"
"Foireux","Foireux"
"Freluquet","Freluquet"
"Maquerelle","Maquerelle"
"Pignolo","Pignolo"
"Pigeon","Pigeon"
"Tétard","Tétard"
"Assisté","Assisté"
"Trainée","Trainée"
"Garce","Garce"
"Poufieux","Poufieux"
"Calice","Calice"
"Tacheron","Tacheron"
"Piqueniquedouille","Piqueniquedouille"
"Butor","Butor"
"Nez De Boeuf","Nez De Boeuf"
"Fripon","Fripon"
"Vilain","Vilain"
"Voleur","Voleur"
"Vaurien","Vaurien"
"Ganache","Ganache"
"Tromblon","Tromblon"
"Filou","Filou"
"Zoboromok","Zoboromok"
"Has-been","Has-been"
"Boursouflure","Boursouflure"
"Polisson","Polisson"
"Crasseux","Crasseux"
"Crasseuse","Crasseuse"
"Frigide","Frigide"
"Zozo","Zozo"
"Boubourse","Boubourse"
"Crapule","Crapule"
"Vicelard","Vicelard"
"Pintade","Pintade"
"Four à Merde","Four à Merde"
"Paillasse à Maquereaux ","Paillasse à Maquereaux "
"Gueule De Fion","Gueule De Fion"
"Fouille Merde","Fouille Merde"
"Faux Jeton","Faux Jeton"
"Histrion","Histrion"
"Bégueule","Bégueule"
"Bolchévique","Bolchévique"
"Chaoui","Chaoui"
"Olibrius ","Olibrius "
"Parasite","Parasite"
"Sagouin","Sagouin"
"Pissure","Pissure"
"Godiche","Godiche"
"Saloperie","Saloperie"
"Pine D'ours","Pine D'ours"
"Saperlotte","Saperlotte"
"Cochon","Cochon"
"Grue","Grue"
"Rouge","Rouge"
"Cul Terreux","Cul Terreux"
"Dépravé","Dépravé"
"Homoncule","Homoncule"
"Parvenu","Parvenu"
"Cloche","Cloche"
"Grand Dépandeur D'andouilles","Grand Dépandeur D'andouilles"
"Vieille Baderne","Vieille Baderne"
"Bécasse","Bécasse"
"Demi-Sel","Demi-Sel"
"Pouffe ","Pouffe "
"Rastaquouère","Rastaquouère"
"Triple Buse","Triple Buse"
"Peau De Bite","Peau De Bite"
"Roublard","Roublard"
"Ahuri","Ahuri"
"Voyou","Voyou"
"Radin","Radin"
"Gueule De Raie","Gueule De Raie"
"Zigoto","Zigoto"
"Canaillou","Canaillou"
"Tapin","Tapin"
"Niais","Niais"
"Niaiseux","Niaiseux"
"Grave","Grave"
"Syphonné","Syphonné"
"Louf","Louf"
"Toqué","Toqué"
"Sinoque","Sinoque"
"Fesse De Moule","Fesse De Moule"
"Bourrin","Bourrin"
"Saleté","Saleté"
"Pourceau","Pourceau"
"Crisss","Crisss"
"Sacrement","Sacrement"
"Brigand","Brigand"
"Emmerdeur","Emmerdeur"
"Sac A Brin","Sac A Brin"
"Enfant De Tainpu","Enfant De Tainpu"
"Gueudin","Gueudin"
"Gredin","Gredin"
"Estupido","Estupido"
"Graveleux","Graveleux"
"Gnome","Gnome"
"Bordel","Bordel"
"Bordel à Cul","Bordel à Cul"
"Casse-pieds","Casse-pieds"
"Ignare","Ignare"
"Bouricot","Bouricot"
"Illettré","Illettré"
"Miteux","Miteux"
"Vipère Lubrique","Vipère Lubrique"
"Foldingue","Foldingue"
"Sacrebleu","Sacrebleu"
"Parbleu","Parbleu"
"Ventrebleu","Ventrebleu"
"Tudieu","Tudieu"
"Cornegidouille","Cornegidouille"
"Saperlipopette","Saperlipopette"
"Sac à Gnole","Sac à Gnole"
"Serpillière à Foutre","Serpillière à Foutre"
"Chiante","Chiante"
"Diantre","Diantre"
"Fichtre","Fichtre"
"Foutre","Foutre"
"Malandrin","Malandrin"
"Flûte","Flûte"
"Malapris","Malapris"
"Goliot","Goliot"
"Peau De Couille","Peau De Couille"
"Cruche","Cruche"
"Fouchtra","Fouchtra"
"Maritorne","Maritorne"
"Chabraque","Chabraque"
"Gaupe","Gaupe"
"Harpie","Harpie"
"Hétaïre","Hétaïre"
"Pie-grièche","Pie-grièche"
"Mijaurée","Mijaurée"
"Péronelle","Péronelle"
"Poissarde","Poissarde"
"Rombière","Rombière"
"Virago","Virago"
"Croquignolet","Croquignolet"
"Gueule D'empeigne","Gueule D'empeigne"
"Culbuto","Culbuto"
"Bidochon","Bidochon"
"Beauf","Beauf"
"Bulot","Bulot"
"Traîne-savate","Traîne-savate"
"Pousse-crotte","Pousse-crotte"
"Tronche En Biais","Tronche En Biais"
"Galopin","Galopin"
"Nazebroque","Nazebroque"
"Gomorrhite","Gomorrhite"
"Dinde","Dinde"
"Ventre Saint Gris","Ventre Saint Gris"
"Pédés","Pédés"
"Guenon","Guenon"
"Clocharde","Clocharde"
"Bastardacciu","Bastardacciu"
"Relou","Relou"
"Cacou","Cacou"
"Bougresse","Bougresse"
"Tas D'cons","Tas D'cons"
"Indécrotable","Indécrotable"
"Bélître","Bélître"
"Pédozoonécrophile","Pédozoonécrophile"
"Faux Cul","Faux Cul"
"Alburostre","Alburostre"
"Alvéopyge","Alvéopyge"
"Ambisenestre","Ambisenestre"
"Antirotodongyrateur","Antirotodongyrateur"
"Archéodendrite","Archéodendrite"
"Aspermogène","Aspermogène"
"Bovinoderme","Bovinoderme"
"Cacoglotte","Cacoglotte"
"Coprolithe","Coprolithe"
"Coprolupanar","Coprolupanar"
"Géopyge","Géopyge"
"Hyperthyrroïdien Des Alpes","Hyperthyrroïdien Des Alpes"
"Latérograde","Latérograde"
"Micromyxeux","Micromyxeux"
"Nanipabullophile","Nanipabullophile"
"Nodocéphale","Nodocéphale"
"Oculogynécomane","Oculogynécomane"
"Ostréipyge","Ostréipyge"
"Orchidoclaste","Orchidoclaste"
"Ovocéphale","Ovocéphale"
"Paléocapridé","Paléocapridé"
"Paléotalpidé","Paléotalpidé"
"Phallosophe","Phallosophe"
"Phyllotétanique","Phyllotétanique"
"Podoclaste","Podoclaste"
"Pseudopyge","Pseudopyge"
"Pyropyge","Pyropyge"
"Stratocumulocéphale","Stratocumulocéphale"
"Suprapygoflatulent","Suprapygoflatulent"
"Zoocopulatoire","Zoocopulatoire"
"Stéatopyge","Stéatopyge"
"Chagasse","Chagasse"
"Baudet","Baudet"
"Maroufle","Maroufle"
"Frappé","Frappé"
"Frappadingue","Frappadingue"
"Puceau","Puceau"
"Grippe-sous","Grippe-sous"
"Sainte Nitouche","Sainte Nitouche"
"Marie-couche-toi-là","Marie-couche-toi-là"
"Tartuffe","Tartuffe"
"Ostie De Tabarnak","Ostie De Tabarnak"
"Menteur","Menteur"
"égoiste","égoiste"
"Diable","Diable"
"Puterelle","Puterelle"
"Ribaude","Ribaude"
"Casse-couilles","Casse-couilles"
"Benêt","Benêt"
"Inculte","Inculte"
"Dégueulasse","Dégueulasse"
"Lepeniste","Lepeniste"
"Nazi","Nazi"
"Fillon","Fillon"
